"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"United States","Electricity - total thermal production","2017","Kilowatt-hours, million","2770050",""
"United States","Electricity - total thermal production","2016","Kilowatt-hours, million","2886040",""
"United States","Electricity - total thermal production","2015","Kilowatt-hours, million","2962870",""
"United States","Electricity - total thermal production","2014","Kilowatt-hours, million","2995556",""
"United States","Electricity - total thermal production","2013","Kilowatt-hours, million","2985891",""
"United States","Electricity - total thermal production","2012","Kilowatt-hours, million","3016908",""
"United States","Electricity - total thermal production","2011","Kilowatt-hours, million","3034500",""
"United States","Electricity - total thermal production","2010","Kilowatt-hours, million","3132755",""
"United States","Electricity - total thermal production","2009","Kilowatt-hours, million","2965173",""
"United States","Electricity - total thermal production","2008","Kilowatt-hours, million","3173013",""
"United States","Electricity - total thermal production","2007","Kilowatt-hours, million","3183440",""
"United States","Electricity - total thermal production","2006","Kilowatt-hours, million","3121205",""
"United States","Electricity - total thermal production","2005","Kilowatt-hours, million","3149290",""
"United States","Electricity - total thermal production","2004","Kilowatt-hours, million","3032176",""
"United States","Electricity - total thermal production","2003","Kilowatt-hours, million","2960065",""
"United States","Electricity - total thermal production","2002","Kilowatt-hours, million","2928244",""
"United States","Electricity - total thermal production","2001","Kilowatt-hours, million","2836138",""
"United States","Electricity - total thermal production","2000","Kilowatt-hours, million","2953983",""
"United States","Electricity - total thermal production","1999","Kilowatt-hours, million","2802706",""
"United States","Electricity - total thermal production","1998","Kilowatt-hours, million","2775008",""
"United States","Electricity - total thermal production","1997","Kilowatt-hours, million","2653622",""
"United States","Electricity - total thermal production","1996","Kilowatt-hours, million","2565046",""
"United States","Electricity - total thermal production","1995","Kilowatt-hours, million","2511487",""
"United States","Electricity - total thermal production","1994","Kilowatt-hours, million","2488352",""
"United States","Electricity - total thermal production","1993","Kilowatt-hours, million","2439505",""
"United States","Electricity - total thermal production","1992","Kilowatt-hours, million","2339422",""
"United States","Electricity - total thermal production","1991","Kilowatt-hours, million","2297186",""
"United States","Electricity - total thermal production","1990","Kilowatt-hours, million","2298328",""
"United States","Electricity production from biogases","2018","Kilowatt-hours, million","13095",""
"United States","Electricity production from biogases","2017","Kilowatt-hours, million","13722",""
"United States","Electricity production from biogases","2016","Kilowatt-hours, million","13466",""
"United States","Electricity production from biogases","2015","Kilowatt-hours, million","13674",""
"United States","Electricity production from biogases","2014","Kilowatt-hours, million","13586",""
"United States","Electricity production from biogases","2013","Kilowatt-hours, million","12791",""
"United States","Electricity production from biogases","2012","Kilowatt-hours, million","11568",""
"United States","Electricity production from biogases","2011","Kilowatt-hours, million","10613",""
"United States","Electricity production from biogases","2010","Kilowatt-hours, million","9806",""
"United States","Electricity production from biogases","2009","Kilowatt-hours, million","9281",""
"United States","Electricity production from biogases","2008","Kilowatt-hours, million","8427",""
"United States","Electricity production from biogases","2007","Kilowatt-hours, million","7469",""
